City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
367,ondarroa,75,ES,1556429406,93,43.32,-2.42,50.0,3.36
368,san ramon de la nueva oran,0,AR,1556429432,95,-23.13,-64.33,57.64,2.21
369,maun,0,BW,1556427600,58,-19.99,23.42,59.0,9.17
370,fort-shevchenko,0,KZ,1556429433,63,44.51,50.26,54.22,19.53
371,peterhead,75,AU,1556429406,59,-34.83,138.5,66.99,10.29
372,mitsamiouli,20,KM,1556427600,79,-11.38,43.28,84.2,2.24
373,yatou,79,CM,1556429434,78,3.63,9.81,83.74,6.49
374,srednekolymsk,99,RU,1556429434,84,67.46,153.71,29.56,9.22
375,anadyr,40,RU,1556428993,80,64.73,177.51,33.8,17.9
376,mattru,60,SL,1556429435,89,7.62,-11.83,78.52,1.19
377,puerto escondido,92,MX,1556429435,57,15.86,-97.07,79.42,2.21
378,itarema,98,BR,1556429435,89,-2.92,-39.92,76.18,4.29
379,port-cartier,90,CA,1556428595,98,50.03,-66.88,34.0,21.92
380,kichera,77,RU,1556429436,79,55.93,110.1,41.62,2.59
